benchmark,run,result
fizz-buzz,baseline,5494
fizz-buzz,myopt,5494
ackermann,baseline,1636465
ackermann,myopt,1636465
orders,baseline,6640
orders,myopt,6310
bitshift,baseline,103
bitshift,myopt,103
mccarthy91,baseline,1559
mccarthy91,myopt,1559
pascals-row,baseline,65
pascals-row,myopt,65
recfact,baseline,72
recfact,myopt,72
hanoi,baseline,115
hanoi,myopt,115
combination,baseline,204
combination,myopt,204
delannoy,baseline,4045836
delannoy,myopt,4045836
bitwise-ops,baseline,2273
bitwise-ops,myopt,2273
sum-check,baseline,7021
sum-check,myopt,7021
sum-divisors,baseline,272
sum-divisors,myopt,272
is-decreasing,baseline,136
is-decreasing,myopt,130
reverse,baseline,44
reverse,myopt,44
euclid,baseline,294
euclid,myopt,294
binpow,baseline,119
binpow,myopt,119
sqrt_bin_search,baseline,314
sqrt_bin_search,myopt,314
lcm,baseline,2713
lcm,myopt,2586
factors,baseline,88
factors,myopt,88
mod_inv,baseline,496
mod_inv,myopt,482
relative-primes,baseline,1439
relative-primes,myopt,1419
gebmm,baseline,4347
gebmm,myopt,4348
fib_recursive,baseline,2022
fib_recursive,myopt,2022
mod_pow,baseline,233
mod_pow,myopt,229
hamming,baseline,144
hamming,myopt,144
collatz,baseline,187
collatz,myopt,187
fact,baseline,189
fact,myopt,189
montgomery,baseline,20
montgomery,myopt,20
sum-bits,baseline,93
sum-bits,myopt,93
primes-between,baseline,1065459
primes-between,myopt,1026247
karatsuba,baseline,1607
karatsuba,myopt,1579
rot13,baseline,11
rot13,myopt,11
sum-sq-diff,baseline,1718
sum-sq-diff,myopt,1718
sum-digits,baseline,117
sum-digits,myopt,107
rectangles-area-difference,baseline,19
rectangles-area-difference,myopt,19
quadratic,baseline,306
quadratic,myopt,264
fitsinside,baseline,12
fitsinside,myopt,12
binary-fmt,baseline,118
binary-fmt,myopt,118
perfect,baseline,298
perfect,myopt,298
geometric-sum,baseline,46
geometric-sum,myopt,46
totient,baseline,505
totient,myopt,505
armstrong,baseline,167
armstrong,myopt,167
permutation,baseline,92
permutation,myopt,85
add,baseline,5
add,myopt,5
dayofweek,baseline,220
dayofweek,myopt,216
loopfact,baseline,79
loopfact,myopt,71
up-arrow,baseline,404
up-arrow,myopt,404
sum-of-cubes,baseline,8
sum-of-cubes,myopt,8
palindrome,baseline,401
palindrome,myopt,401
digital-root,baseline,330
digital-root,myopt,330
check-primes,baseline,5434
check-primes,myopt,5434
pythagorean_triple,baseline,69270
pythagorean_triple,myopt,61767
gcd,baseline,56
gcd,myopt,56
catalan,baseline,777476
catalan,myopt,777476
bbs,baseline,174
bbs,myopt,174
