benchmark,run,result
fizz-buzz,baseline,1897
fizz-buzz,myopt,5494
ackermann,baseline,1464231
ackermann,myopt,1636465
orders,baseline,5352
orders,myopt,6640
bitshift,baseline,90
bitshift,myopt,103
mccarthy91,baseline,1385
mccarthy91,myopt,1559
pascals-row,baseline,63
pascals-row,myopt,65
recfact,baseline,63
recfact,myopt,72
hanoi,baseline,99
hanoi,myopt,115
combination,baseline,178
combination,myopt,204
delannoy,baseline,3647242
delannoy,myopt,4045836
bitwise-ops,baseline,1688
bitwise-ops,myopt,2273
sum-check,baseline,5018
sum-check,myopt,7021
sum-divisors,baseline,159
sum-divisors,myopt,272
is-decreasing,baseline,114
is-decreasing,myopt,136
reverse,baseline,38
reverse,myopt,44
euclid,baseline,270
euclid,myopt,294
binpow,baseline,105
binpow,myopt,119
sqrt_bin_search,baseline,288
sqrt_bin_search,myopt,314
lcm,baseline,2326
lcm,myopt,2713
factors,baseline,72
factors,myopt,88
mod_inv,baseline,303
mod_inv,myopt,496
relative-primes,baseline,1097
relative-primes,myopt,1439
gebmm,baseline,3011
gebmm,myopt,4347
fib_recursive,baseline,1844
fib_recursive,myopt,2022
mod_pow,baseline,133
mod_pow,myopt,233
hamming,baseline,117
hamming,myopt,144
collatz,baseline,169
collatz,myopt,187
fact,baseline,167
fact,myopt,189
montgomery,baseline,17
montgomery,myopt,20
sum-bits,baseline,73
sum-bits,myopt,93
primes-between,baseline,572102
primes-between,myopt,1065459
karatsuba,baseline,1398
karatsuba,myopt,1607
rot13,baseline,8
rot13,myopt,11
sum-sq-diff,baseline,1715
sum-sq-diff,myopt,1718
sum-digits,baseline,115
sum-digits,myopt,117
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,19
quadratic,baseline,257
quadratic,myopt,306
fitsinside,baseline,10
fitsinside,myopt,12
binary-fmt,baseline,100
binary-fmt,myopt,118
perfect,baseline,230
perfect,myopt,298
geometric-sum,baseline,35
geometric-sum,myopt,46
totient,baseline,253
totient,myopt,505
armstrong,baseline,130
armstrong,myopt,167
permutation,baseline,86
permutation,myopt,92
add,baseline,4
add,myopt,5
dayofweek,baseline,148
dayofweek,myopt,220
loopfact,baseline,78
loopfact,myopt,79
up-arrow,baseline,252
up-arrow,myopt,404
sum-of-cubes,baseline,7
sum-of-cubes,myopt,8
palindrome,baseline,295
palindrome,myopt,401
digital-root,baseline,247
digital-root,myopt,330
check-primes,baseline,4189
check-primes,myopt,5434
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,69270
gcd,baseline,46
gcd,myopt,56
catalan,baseline,659378
catalan,myopt,777476
bbs,baseline,136
bbs,myopt,174
