benchmark,run,result
fizz-buzz,baseline,3652
fizz-buzz,myopt,1897
ackermann,baseline,1464231
ackermann,myopt,1464234
orders,baseline,5352
orders,myopt,5358
bitshift,baseline,167
bitshift,myopt,96
mccarthy91,baseline,1385
mccarthy91,myopt,1388
pascals-row,baseline,146
pascals-row,myopt,66
recfact,baseline,104
recfact,myopt,68
hanoi,baseline,99
hanoi,myopt,102
combination,baseline,178
combination,myopt,181
delannoy,baseline,5748752
delannoy,myopt,3647245
bitwise-ops,baseline,1690
bitwise-ops,myopt,1692
sum-check,baseline,5018
sum-check,myopt,5025
sum-divisors,baseline,159
sum-divisors,myopt,199
is-decreasing,baseline,127
is-decreasing,myopt,117
reverse,baseline,46
reverse,myopt,38
euclid,baseline,563
euclid,myopt,274
binpow,baseline,105
binpow,myopt,108
sqrt_bin_search,baseline,744
sqrt_bin_search,myopt,388
lcm,baseline,2326
lcm,myopt,3358
factors,baseline,72
factors,myopt,72
mod_inv,baseline,558
mod_inv,myopt,387
relative-primes,baseline,1923
relative-primes,myopt,1100
gebmm,baseline,3011
gebmm,myopt,3214
fib_recursive,baseline,2693
fib_recursive,myopt,1847
mod_pow,baseline,243
mod_pow,myopt,136
hamming,baseline,117
hamming,myopt,129
collatz,baseline,169
collatz,myopt,169
fact,baseline,229
fact,myopt,170
montgomery,baseline,17
montgomery,myopt,25
sum-bits,baseline,73
sum-bits,myopt,97
primes-between,baseline,574100
primes-between,myopt,732274
karatsuba,baseline,1548
karatsuba,myopt,1401
rot13,baseline,8
rot13,myopt,11
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,1723
sum-digits,baseline,219
sum-digits,myopt,115
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,20
quadratic,baseline,785
quadratic,myopt,260
fitsinside,baseline,10
fitsinside,myopt,14
binary-fmt,baseline,100
binary-fmt,myopt,103
perfect,baseline,232
perfect,myopt,230
geometric-sum,baseline,35
geometric-sum,myopt,35
totient,baseline,253
totient,myopt,256
armstrong,baseline,133
armstrong,myopt,154
permutation,baseline,130
permutation,myopt,90
add,baseline,4
add,myopt,4
dayofweek,baseline,269
dayofweek,myopt,195
loopfact,baseline,116
loopfact,myopt,78
up-arrow,baseline,252
up-arrow,myopt,255
sum-of-cubes,baseline,8
sum-of-cubes,myopt,7
palindrome,baseline,298
palindrome,myopt,313
digital-root,baseline,247
digital-root,myopt,351
check-primes,baseline,8468
check-primes,myopt,4385
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
gcd,baseline,46
gcd,myopt,46
catalan,baseline,659378
catalan,myopt,659381
bbs,baseline,137
bbs,myopt,202
